name,role,layer,src_type,n_elem,n_measured,sampled,rms_w,absmax_rel_mse,absmax_rms_err,absmax_max_abs_err,absmax_cos,absmax_sqnr_db
token_embd.weight,embed,-1,Q4_K,1409286144,8000000,True,0.015291932361819053,0.197486162601637,0.007517061850590725,0.25093692541122437,0.9129017123777714,7.044633289807316
blk.0.attn_k.weight,attn_k,0,Q4_0,22020096,8000000,True,0.016757823705305944,0.15219756565997844,0.006296031513187614,0.06491218507289886,0.9293371701626011,8.175922938788053
blk.0.attn_output.weight,attn_o,0,Q4_0,44040192,8000000,True,0.012042834239071399,0.1449497867439067,0.0046248157513534335,0.0620880126953125,0.9326159847620697,8.387824192604338
blk.0.attn_q.weight,attn_q,0,Q4_0,44040192,8000000,True,0.016111011392662338,0.15182326877348104,0.0061832513012238435,0.06058470159769058,0.9294366091148394,8.186616623964794
blk.0.attn_v.weight,attn_v,0,Q4_0,22020096,8000000,True,0.01688951725816294,0.15047471308328503,0.0064554056994867905,0.0724334716796875,0.9300005900778522,8.225364760906613
blk.0.ffn_down.weight,ffn_down,0,Q4_1,115605504,8000000,True,0.011511370730889783,0.15950033130156557,0.004609293128467999,0.0556773915886879,0.9280401898252382,7.9723841052346245
blk.0.ffn_gate.weight,ffn_gate,0,Q4_0,115605504,8000000,True,0.0150864613504926,0.15364594760161404,0.005909248141238485,0.04327479004859924,0.9286691242774593,8.13478889735402
blk.0.ffn_up.weight,ffn_up,0,Q4_0,115605504,8000000,True,0.01528472413634175,0.15253633970734054,0.005951034310012376,0.05192974582314491,0.9292625503458488,8.166266792399279
blk.1.attn_k.weight,attn_k,1,Q4_0,22020096,8000000,True,0.017545578172405107,0.15269701614815712,0.00697528453183262,0.0625782236456871,0.9289893690275093,8.161694494075697
blk.1.attn_output.weight,attn_o,1,Q4_0,44040192,8000000,True,0.012619128452970453,0.1480318521905255,0.004813321275640595,0.056304931640625,0.9309919061586436,8.296448268873492
blk.1.attn_q.weight,attn_q,1,Q4_0,44040192,8000000,True,0.01707788626524515,0.1507967139820516,0.007016991106047351,0.04442671313881874,0.9297585259134619,8.216081220936406
blk.1.attn_v.weight,attn_v,1,Q4_0,22020096,8000000,True,0.017166692746398527,0.15453590153335875,0.0066703536596298095,0.0843048095703125,0.9282764383433115,8.109706099184095
blk.1.ffn_down.weight,ffn_down,1,Q4_1,115605504,8000000,True,0.010833344571008135,0.1494518797895752,0.004163759157177334,0.04318323731422424,0.9316032737616697,8.254986180813386
blk.1.ffn_gate.weight,ffn_gate,1,Q4_0,115605504,8000000,True,0.016052032120930912,0.15356802444921594,0.0062940072818087655,0.04760226607322693,0.9287174993291722,8.136992026046304
blk.1.ffn_up.weight,ffn_up,1,Q4_0,115605504,8000000,True,0.016089942315265837,0.1533806310054043,0.006320870314486275,0.05192974582314491,0.9288209529686193,8.142294798823249
blk.2.attn_k.weight,attn_k,2,Q4_0,22020096,8000000,True,0.0154661315680639,0.15143706862424242,0.005930124165441881,0.06058470159769058,0.9297272489097247,8.197678056253304
blk.2.attn_output.weight,attn_o,2,Q4_0,44040192,8000000,True,0.012614118028423896,0.14730645846043183,0.0048192149615704505,0.05016401782631874,0.9314411882454889,8.317782116622013
blk.2.attn_q.weight,attn_q,2,Q4_0,44040192,8000000,True,0.015106565544490011,0.1515367115177431,0.005966704129856374,0.05737820267677307,0.9296598540997604,8.194821415632576
blk.2.attn_v.weight,attn_v,2,Q4_0,22020096,8000000,True,0.01607068187187952,0.15291363802691793,0.006342966175852118,0.09520453214645386,0.9291217093924681,8.155537791023912
blk.2.ffn_down.weight,ffn_down,2,Q4_1,115605504,8000000,True,0.013452711714803282,0.1540774305959794,0.005292161122631021,0.06826309859752655,0.9300260353042582,8.122609724787054
blk.2.ffn_gate.weight,ffn_gate,2,Q4_0,115605504,8000000,True,0.015594653803475014,0.1538418029787137,0.006121185159367929,0.03894731029868126,0.9285004196256982,8.129256389417169
blk.2.ffn_up.weight,ffn_up,2,Q4_0,115605504,8000000,True,0.01595676347812432,0.1523363599912581,0.006221218074795291,0.03633977100253105,0.9292450982863963,8.171964258897868
blk.3.attn_k.weight,attn_k,3,Q4_0,22020096,8000000,True,0.01594833792722205,0.1532758492426781,0.0062050979911696105,0.05192974582314491,0.9289633444170333,8.145262689349499
blk.3.attn_output.weight,attn_o,3,Q4_0,44040192,8000000,True,0.012478755212374534,0.1474799499988172,0.004779624537323308,0.0562286376953125,0.9313004915208974,8.312670183078621
blk.3.attn_q.weight,attn_q,3,Q4_0,44040192,8000000,True,0.015501670286054585,0.15272152892375965,0.0061047541231848655,0.06525775417685509,0.9292011816394129,8.160997367894268
blk.3.attn_v.weight,attn_v,3,Q4_0,22020096,8000000,True,0.01617199891232056,0.15666078157844796,0.006493792317888846,0.06312152370810509,0.9274361345858135,8.050397110989117
blk.3.ffn_down.weight,ffn_down,3,Q4_1,115605504,8000000,True,0.012491121137541226,0.15334525694976073,0.0049019176829944704,0.05985227972269058,0.9303191346787052,8.14329652432735
blk.3.ffn_gate.weight,ffn_gate,3,Q4_0,115605504,8000000,True,0.016548511314625914,0.15120346674000928,0.006405100214662051,0.05192974582314491,0.9296531573291408,8.204382513692282
blk.3.ffn_up.weight,ffn_up,3,Q4_0,115605504,8000000,True,0.016178882881966894,0.15150322009988268,0.0062664926472299235,0.05192974582314491,0.9295323476854132,8.195781364240634
blk.4.attn_k.weight,attn_k,4,Q4_0,22020096,8000000,True,0.016580068059553244,0.1583908847168542,0.006540625183168491,0.05369481444358826,0.926764505428546,8.00269815366978
blk.4.attn_output.weight,attn_o,4,Q4_0,44040192,8000000,True,0.014895232214912011,0.15437802427950084,0.005839318027246796,0.04978254809975624,0.9284591969032371,8.114145214446232
blk.4.attn_q.weight,attn_q,4,Q4_0,44040192,8000000,True,0.01600785909688267,0.15465314954194254,0.00619816473338204,0.0562572255730629,0.9281965001423119,8.106412310778211
blk.4.attn_v.weight,attn_v,4,Q4_0,22020096,8000000,True,0.017307091871484992,0.1600329810435215,0.00688534539385447,0.1125144511461258,0.9261486083239167,7.957905047868831
blk.4.ffn_down.weight,ffn_down,4,Q4_1,115605504,8000000,True,0.012878883736258513,0.1458203829145619,0.004929739312025599,0.04361972212791443,0.9330256011805604,8.361817656709466
blk.4.ffn_gate.weight,ffn_gate,4,Q4_0,115605504,8000000,True,0.016418768309633784,0.1509961346697646,0.006381468279687211,0.04760226607322693,0.9296650684066292,8.210341700119834
blk.4.ffn_up.weight,ffn_up,4,Q4_0,115605504,8000000,True,0.016031314632433805,0.15066506380317934,0.006223198906077026,0.030492646619677544,0.929869304234447,8.219874401636162
blk.5.attn_k.weight,attn_k,5,Q4_0,11010048,8000000,True,0.016457428737275195,0.15450276902431076,0.006461551635167451,0.07789462059736252,0.9283421267378514,8.11063732671496
blk.5.attn_output.weight,attn_o,5,Q4_0,88080384,8000000,True,0.009755379515514124,0.14874511417138253,0.0037159569628799874,0.05194005370140076,0.9307207966181968,8.27557290629709
blk.5.attn_q.weight,attn_q,5,Q4_0,88080384,8000000,True,0.015097917500233277,0.15091060131069506,0.00603788076724761,0.07323487848043442,0.9298155742666391,8.21280250423113
blk.5.ffn_down.weight,ffn_down,5,Q4_1,115605504,8000000,True,0.011662696079413563,0.14870817925112148,0.004528022510358728,0.04345187544822693,0.9319284210171137,8.276651437447763
blk.5.ffn_gate.weight,ffn_gate,5,Q4_0,115605504,8000000,True,0.01696826738758282,0.1518006927155678,0.006616052705722464,0.05192974582314491,0.9293319361628504,8.187262466100892
blk.5.ffn_up.weight,ffn_up,5,Q4_0,115605504,8000000,True,0.016407308949766778,0.15144720454163213,0.006367394610432318,0.05192974582314491,0.9295305469909905,8.197387385962173
blk.6.attn_k.weight,attn_k,6,Q4_0,22020096,8000000,True,0.016304420328317186,0.1505432419468143,0.0062124573178048295,0.0562572255730629,0.9300157593833036,8.223387356748574
blk.6.attn_output.weight,attn_o,6,Q4_0,44040192,8000000,True,0.01305188459795168,0.14837253761193492,0.004989712356685827,0.04760226607322693,0.9307555703414107,8.286464755212466
blk.6.attn_q.weight,attn_q,6,Q4_0,44040192,8000000,True,0.015822285580093652,0.15024675807518922,0.006022720088742869,0.05369481444358826,0.9301341558376537,8.23194890142167
blk.6.attn_v.weight,attn_v,6,Q4_0,22020096,8000000,True,0.01648595527268328,0.15376610542237149,0.006471678495623461,0.1384793221950531,0.928754087510711,8.131393852777425
blk.6.ffn_down.weight,ffn_down,6,Q4_1,115605504,8000000,True,0.012013106921360206,0.14697956470051254,0.004605797123494766,0.04196253418922424,0.9326741661337756,8.32743043175213
blk.6.ffn_gate.weight,ffn_gate,6,Q4_0,115605504,8000000,True,0.017178696761495076,0.1544911830847825,0.006739058631342046,0.04327479004859924,0.9282136866199047,8.11096301008661
blk.6.ffn_up.weight,ffn_up,6,Q4_0,115605504,8000000,True,0.01709812379685456,0.15664091893870632,0.006752488271360178,0.04760226607322693,0.9274491934483394,8.050947777317015
blk.7.attn_k.weight,attn_k,7,Q4_0,22020096,8000000,True,0.015117772722072664,0.15397692424726694,0.006080539443635953,0.0562572255730629,0.9286611403963395,8.12544359832298
blk.7.attn_output.weight,attn_o,7,Q4_0,44040192,8000000,True,0.012825619937235064,0.14779156089878626,0.004932363264471073,0.0496063232421875,0.931125536104399,8.303503640448954
blk.7.attn_q.weight,attn_q,7,Q4_0,44040192,8000000,True,0.014773250175542863,0.15253679485649452,0.005854675123305457,0.06090899929404259,0.9291915064419385,8.16625383362031
blk.7.attn_v.weight,attn_v,7,Q4_0,22020096,8000000,True,0.01525874998964213,0.1569831703616375,0.006404681493530172,0.12116940319538116,0.9274390462297708,8.041469043477532
blk.7.ffn_down.weight,ffn_down,7,Q4_0,115605504,8000000,True,0.012182741823724296,0.15711939767132793,0.0048414508349023805,0.06180325150489807,0.9271701363676266,8.037701944535105
blk.7.ffn_gate.weight,ffn_gate,7,Q4_0,115605504,8000000,True,0.016780183149963043,0.15470886889761784,0.006580883231903868,0.0670318603515625,0.9281940536365337,8.104847890615147
blk.7.ffn_up.weight,ffn_up,7,Q4_0,115605504,8000000,True,0.016588998523714635,0.15462386423005056,0.006524840181718845,0.0575714111328125,0.928240246260599,8.107234774060458
blk.8.attn_k.weight,attn_k,8,Q4_0,22020096,8000000,True,0.01659634342413364,0.15171695415089648,0.006567266761927136,0.06058470159769058,0.9295509167838901,8.189658847191573
blk.8.attn_output.weight,attn_o,8,Q4_0,44040192,8000000,True,0.013461489697825726,0.14894161102788,0.0051711328253441205,0.06088772416114807,0.9306077613402656,8.269839529182267
blk.8.attn_q.weight,attn_q,8,Q4_0,44040192,8000000,True,0.016207309403816927,0.1516718471357097,0.006374654814419756,0.0562572255730629,0.9295592385746407,8.190950241458735
blk.8.attn_v.weight,attn_v,8,Q4_0,22020096,8000000,True,0.016746296977840587,0.15940604619286355,0.006960603108437291,0.11242502927780151,0.9265623043219374,7.974952100515855
blk.8.ffn_down.weight,ffn_down,8,Q4_0,115605504,8000000,True,0.013445931420947842,0.15694729525776746,0.00534299415900703,0.06058470159769058,0.9273608808654376,8.042461642885527
blk.8.ffn_gate.weight,ffn_gate,8,Q4_0,115605504,8000000,True,0.016646527083441068,0.1552379153096035,0.006542613757500571,0.04760226607322693,0.9279547470651465,8.090021980346686
blk.8.ffn_up.weight,ffn_up,8,Q4_0,115605504,8000000,True,0.01640460904101656,0.15409849828369648,0.006429181455679544,0.06923966109752655,0.9284656321151342,8.122015935351941
blk.9.attn_k.weight,attn_k,9,Q4_0,22020096,8000000,True,0.01639778849976738,0.151472665772897,0.006287907655692414,0.0562572255730629,0.9296656457448915,8.196657313533755
blk.9.attn_output.weight,attn_o,9,Q4_0,44040192,8000000,True,0.013219775020126516,0.14878766208828215,0.005062083838811399,0.06058470159769058,0.930649042899644,8.274330802762531
blk.9.attn_q.weight,attn_q,9,Q4_0,44040192,8000000,True,0.01602320023122258,0.15012573176671773,0.006293507873784494,0.06058470159769058,0.9302216593092337,8.235448626766445
blk.9.attn_v.weight,attn_v,9,Q4_0,22020096,8000000,True,0.016678190521502736,0.1576460051180427,0.006610084661623869,0.12116940319538116,0.9272415728883191,8.023170301629674
blk.9.ffn_down.weight,ffn_down,9,Q4_0,115605504,8000000,True,0.013828421528394133,0.16549780782377727,0.0056301653136068145,0.06058470159769058,0.9241130491679631,7.812077544945602
blk.9.ffn_gate.weight,ffn_gate,9,Q4_0,115605504,8000000,True,0.016850249334579882,0.15148916675421692,0.006550206711528787,0.04760226607322693,0.9294907766321711,8.196184231820423
blk.9.ffn_up.weight,ffn_up,9,Q4_0,115605504,8000000,True,0.01671041340067338,0.15254173820231867,0.006522623253773241,0.05192974582314491,0.9290926912121426,8.166113091642025
blk.10.attn_k.weight,attn_k,10,Q4_0,22020096,8000000,True,0.016767852877261694,0.15091728818280775,0.006575044272965433,0.05192974582314491,0.9298964313012921,8.21261007193701
blk.10.attn_output.weight,attn_o,10,Q4_0,44040192,8000000,True,0.013567959592762002,0.14818436249880682,0.005170782900428837,0.0563812255859375,0.9309086876252206,8.291976238789525
blk.10.attn_q.weight,attn_q,10,Q4_0,44040192,8000000,True,0.016276736381979025,0.15013412472228274,0.006497685287437771,0.0562572255730629,0.9302069028877011,8.235205836116219
blk.10.attn_v.weight,attn_v,10,Q4_0,22020096,8000000,True,0.016851109346357186,0.155908915503317,0.006883376823055869,0.1125144511461258,0.9279413012101436,8.071290493834171
blk.10.ffn_down.weight,ffn_down,10,Q4_0,115605504,8000000,True,0.012727557893658781,0.1558476828663418,0.005030242545000885,0.05192974582314491,0.9278953108063932,8.072996504024927
blk.10.ffn_gate.weight,ffn_gate,10,Q4_0,115605504,8000000,True,0.017481808724878166,0.15191059468114437,0.006815042802872763,0.0562572255730629,0.9292641068164499,8.184119361365294
blk.10.ffn_up.weight,ffn_up,10,Q4_0,115605504,8000000,True,0.017309369572154704,0.1526275195951653,0.006764508801238493,0.05192974582314491,0.9290165503300087,8.16367153597463
blk.11.attn_k.weight,attn_k,11,Q4_0,11010048,8000000,True,0.015855746748025836,0.15503824970119015,0.0062715220502609975,0.06058470159769058,0.9282064967270127,8.095611432177526
blk.11.attn_output.weight,attn_o,11,Q4_0,88080384,8000000,True,0.010382774118955877,0.14915688914421144,0.004005271956249706,0.04327479004859924,0.9305263612959862,8.263566829776089
blk.11.attn_q.weight,attn_q,11,Q4_0,88080384,8000000,True,0.014599766088969407,0.15021680986110458,0.0054708635944136635,0.041979290544986725,0.9301167964375626,8.232814653249902
blk.11.ffn_down.weight,ffn_down,11,Q4_0,115605504,8000000,True,0.013237189354933239,0.15246033654754915,0.005195450989316123,0.04760226607322693,0.9293055702784271,8.168431258844825
blk.11.ffn_gate.weight,ffn_gate,11,Q4_0,115605504,8000000,True,0.0168586321225002,0.15099804203054995,0.006560771675690319,0.03894731029868126,0.9296675910418687,8.210286841031282
blk.11.ffn_up.weight,ffn_up,11,Q4_0,115605504,8000000,True,0.01642923665839943,0.15173837958861314,0.006412605972798206,0.032972199842333794,0.9293913213743674,8.189045580700359
blk.12.attn_k.weight,attn_k,12,Q4_0,22020096,8000000,True,0.014932926922211147,0.15385198533858163,0.006026929920638064,0.0562572255730629,0.9289318913630757,8.128968951524504
blk.12.attn_output.weight,attn_o,12,Q4_0,44040192,8000000,True,0.01254750048061217,0.15055284783107917,0.004808826060745625,0.06119289994239807,0.9299453976896287,8.223110250358086
blk.12.attn_q.weight,attn_q,12,Q4_0,44040192,8000000,True,0.014691357615451543,0.15379302415208215,0.0064248008339677105,0.0672607421875,0.9289247129096133,8.130633631104327
blk.12.attn_v.weight,attn_v,12,Q4_0,22020096,8000000,True,0.015464594342069262,0.1569059342705645,0.005980476728514534,0.08654958009719849,0.9276383011783608,8.043606308412105
blk.12.ffn_down.weight,ffn_down,12,Q4_0,115605504,8000000,True,0.013574994989615334,0.1552360423139862,0.005393579800379766,0.06491218507289886,0.9281095755232767,8.09007437969557
blk.12.ffn_gate.weight,ffn_gate,12,Q4_0,115605504,8000000,True,0.017595438204787026,0.15232792318284794,0.006866640587920419,0.0664234384894371,0.9290625599406925,8.172204789839018
blk.12.ffn_up.weight,ffn_up,12,Q4_0,115605504,8000000,True,0.01728072994808154,0.15275958318463018,0.006747830983048241,0.06220599636435509,0.9289168644184911,8.159915353004353
blk.13.attn_k.weight,attn_k,13,Q4_0,22020096,8000000,True,0.017141879773697372,0.1544754596462034,0.006577832763705305,0.0562572255730629,0.9284362023807714,8.111405038556544
blk.13.attn_output.weight,attn_o,13,Q4_0,44040192,8000000,True,0.014144225978098753,0.14960754148874214,0.005413505301963479,0.0445098876953125,0.9303894471340503,8.250465137951199
blk.13.attn_q.weight,attn_q,13,Q4_0,44040192,8000000,True,0.016790345947879662,0.1551919391878839,0.006300623531862607,0.06126919388771057,0.9281435377275835,8.091308401470096
blk.13.attn_v.weight,attn_v,13,Q4_0,22020096,8000000,True,0.017552694632361653,0.15762737386363707,0.0069033509547623976,0.11489050835371017,0.9272105247020197,8.02368359907425
blk.13.ffn_down.weight,ffn_down,13,Q4_0,115605504,8000000,True,0.012564976690495073,0.15478179420180802,0.004959765755421141,0.06491218507289886,0.9281988318786388,8.102801233861765
blk.13.ffn_gate.weight,ffn_gate,13,Q4_0,115605504,8000000,True,0.01725297201653329,0.1527335796751969,0.006742131835981493,0.05178746581077576,0.9288998559716868,8.160654693981973
blk.13.ffn_up.weight,ffn_up,13,Q4_0,115605504,8000000,True,0.017019663909250173,0.15279385200640158,0.006660585288113166,0.0722808837890625,0.9289205140928934,8.158941201936488
blk.14.attn_k.weight,attn_k,14,Q4_0,22020096,8000000,True,0.015991242726374637,0.1540009274343043,0.006124570650759056,0.06058470159769058,0.9285911972430991,8.124766637194599
blk.14.attn_output.weight,attn_o,14,Q4_0,44040192,8000000,True,0.013897035883114342,0.14891284817691394,0.005356863937348666,0.0604095458984375,0.930630350044988,8.270678297722483
blk.14.attn_q.weight,attn_q,14,Q4_0,44040192,8000000,True,0.015615646294995086,0.15336388803161347,0.005869886173238915,0.05966702103614807,0.9288957780546128,8.142768898973959
blk.14.attn_v.weight,attn_v,14,Q4_0,22020096,8000000,True,0.016213244486139363,0.15793453301019877,0.006280639465598693,0.10708445310592651,0.9269951854182991,8.015228994025833
blk.14.ffn_down.weight,ffn_down,14,Q4_0,115605504,8000000,True,0.013594438012388299,0.15468501417116542,0.005426840040524009,0.06058470159769058,0.9283053281024038,8.105517585567314
blk.14.ffn_gate.weight,ffn_gate,14,Q4_0,115605504,8000000,True,0.01713239865808384,0.15338588604921038,0.006710817694207213,0.05192974582314491,0.9286553112515007,8.142146005757482
blk.14.ffn_up.weight,ffn_up,14,Q4_0,115605504,8000000,True,0.016923190247282494,0.15268162097065946,0.006622460861952434,0.04760226607322693,0.9289694766608642,8.16213237936485
blk.15.attn_k.weight,attn_k,15,Q4_0,22020096,8000000,True,0.015723659949728012,0.15253068262364167,0.006187314417998924,0.06058470159769058,0.9292488053269772,8.166427861282804
blk.15.attn_output.weight,attn_o,15,Q4_0,44040192,8000000,True,0.01293315776998258,0.1478931838118439,0.004931221964114873,0.0506744384765625,0.9310983055109759,8.30051841561723
blk.15.attn_q.weight,attn_q,15,Q4_0,44040192,8000000,True,0.015350004356133881,0.1514099772727764,0.006216513751621111,0.05192974582314491,0.9296139758627995,8.198455057359293
blk.15.attn_v.weight,attn_v,15,Q4_0,22020096,8000000,True,0.016112960382423602,0.1533811322988593,0.006276638865693306,0.09520453214645386,0.9288491412879772,8.142280604812955
blk.15.ffn_down.weight,ffn_down,15,Q4_0,115605504,8000000,True,0.012985526117438338,0.15651841210265427,0.005179519766618781,0.06058470159769058,0.9274738698475735,8.054345667166244
blk.15.ffn_gate.weight,ffn_gate,15,Q4_0,115605504,8000000,True,0.018210800706065837,0.1552415077255927,0.007182223773985837,0.0562572255730629,0.9278947296652135,8.08992147987386
blk.15.ffn_up.weight,ffn_up,15,Q4_0,115605504,8000000,True,0.01797231632637688,0.154130328435168,0.007075147596142579,0.05192974582314491,0.9283451881832274,8.12111896154592
blk.16.attn_k.weight,attn_k,16,Q4_0,22020096,8000000,True,0.017346928087304828,0.1571743789522662,0.006789536808146531,0.06182452663779259,0.9271758903586781,8.036182470149097
blk.16.attn_output.weight,attn_o,16,Q4_0,44040192,8000000,True,0.01492494197757491,0.1514633468295338,0.005804494400375765,0.05621251463890076,0.9296925931387534,8.196924509609012
blk.16.attn_q.weight,attn_q,16,Q4_0,44040192,8000000,True,0.01714480319498716,0.15368486310706064,0.006814479498860105,0.07789462059736252,0.9285982901940385,8.133689053877394
blk.16.attn_v.weight,attn_v,16,Q4_0,22020096,8000000,True,0.018055153828771636,0.1599783827635688,0.007108566807917578,0.1125144511461258,0.9268705302056295,7.959386978488599
blk.16.ffn_down.weight,ffn_down,16,Q4_0,115605504,8000000,True,0.013638955852839654,0.155907438772553,0.005375475230648246,0.0562572255730629,0.9278609634510898,8.071331629330324
blk.16.ffn_gate.weight,ffn_gate,16,Q4_0,115605504,8000000,True,0.01740282746927267,0.1525078906567292,0.00678854696329571,0.03894731029868126,0.9290174460097164,8.167076856285226
blk.16.ffn_up.weight,ffn_up,16,Q4_0,115605504,8000000,True,0.017365027218447144,0.1520789725569774,0.0067746031018546165,0.04802778735756874,0.929205319955454,8.179308302190368
blk.17.attn_k.weight,attn_k,17,Q4_0,11010048,8000000,True,0.01803456725697524,0.15921461448537036,0.006962702206504713,0.089019775390625,0.926448070295555,7.980170703983205
blk.17.attn_output.weight,attn_o,17,Q4_0,88080384,8000000,True,0.011580340761703556,0.1502898565674005,0.004456638740283261,0.04112941771745682,0.9300155173159096,8.23070330028277
blk.17.attn_q.weight,attn_q,17,Q4_0,88080384,8000000,True,0.016892009321665392,0.15245845667088095,0.0071882775231371645,0.06058470159769058,0.9292624767587542,8.168484808844486
blk.17.ffn_down.weight,ffn_down,17,Q4_0,115605504,8000000,True,0.013596742852777169,0.15534009207544952,0.005385965309786455,0.09520453214645386,0.9280956084096753,8.08716441760036
blk.17.ffn_gate.weight,ffn_gate,17,Q4_0,115605504,8000000,True,0.016943584117748833,0.15226499427242993,0.006593472574004939,0.06058470159769058,0.9291057443823121,8.173999295053642
blk.17.ffn_up.weight,ffn_up,17,Q4_0,115605504,8000000,True,0.01680003249466256,0.15240424080223458,0.006533920496773751,0.04327479004859924,0.9290885798781289,8.170029481448127
blk.18.attn_k.weight,attn_k,18,Q4_0,22020096,8000000,True,0.01706690810489741,0.15535146597605975,0.006724305398684281,0.0682544931769371,0.9279857836305662,8.086846441643374
blk.18.attn_output.weight,attn_o,18,Q4_0,44040192,8000000,True,0.015935402905946798,0.15106190046183057,0.006179027359222136,0.05598363280296326,0.9297731103271186,8.208450558834278
blk.18.attn_q.weight,attn_q,18,Q4_0,44040192,8000000,True,0.01679570159308517,0.153025480392296,0.006464934570404841,0.0730610117316246,0.9288946684660767,8.152362484476555
blk.18.attn_v.weight,attn_v,18,Q4_0,22020096,8000000,True,0.017956031615232657,0.15175607397285001,0.007091998259476949,0.10754221677780151,0.9299448168488076,8.188539174513803
blk.18.ffn_down.weight,ffn_down,18,Q4_0,115605504,8000000,True,0.0125789642574704,0.15373890725560085,0.004940530452587027,0.04825666919350624,0.9286118506870762,8.13216210131258
blk.18.ffn_gate.weight,ffn_gate,18,Q4_0,115605504,8000000,True,0.01765537541610213,0.1513860167257312,0.0068745877083161815,0.04993513599038124,0.9294212540481742,8.199142380414624
blk.18.ffn_up.weight,ffn_up,18,Q4_0,115605504,8000000,True,0.01758397539543343,0.15144709203441659,0.0068474305990491235,0.034619830548763275,0.9294591260705384,8.197390612253553
blk.19.attn_k.weight,attn_k,19,Q4_0,22020096,8000000,True,0.01585942199091643,0.15557598282798565,0.006319655774747428,0.06632586941123009,0.9279959760831715,8.080574467444393
blk.19.attn_output.weight,attn_o,19,Q4_0,44040192,8000000,True,0.013798387819435447,0.14870363969720213,0.005325526498249347,0.05699673295021057,0.9306930907423742,8.276784014776036
blk.19.attn_q.weight,attn_q,19,Q4_0,44040192,8000000,True,0.01545129742019693,0.1543237555964826,0.006282664646213079,0.0562572255730629,0.928473654861108,8.115672163194454
blk.19.attn_v.weight,attn_v,19,Q4_0,22020096,8000000,True,0.015897529119599203,0.157322464272437,0.006320454608659278,0.12116940319538116,0.9273448098916675,8.032092594937975
blk.19.ffn_down.weight,ffn_down,19,Q4_0,115605504,8000000,True,0.012725128289908318,0.1600648003407174,0.005100072467389185,0.05001142993569374,0.926155222592059,7.957041627624182
